feature	gain	feature_set	model	repeat	fold
HALLMARK_INFLAMMATORY_RESPONSE	0.0	clinical_plus_bi	xgboost	1	2
ANGIOGENESIS	0.0	clinical_plus_bi	xgboost	1	2
clinical_t_stage_T3	0.0	clinical_plus_bi	xgboost	1	2
clinical_t_stage_T2	0.0	clinical_plus_bi	xgboost	1	2
clinical_t_stage_T1	0.0	clinical_plus_bi	xgboost	1	2
clinical_t_stage_T0	0.0	clinical_plus_bi	xgboost	1	2
grade_Indeterminate	0.0	clinical_plus_bi	xgboost	1	2
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0	clinical_plus_bi	xgboost	1	2
HALLMARK_KRAS_SIGNALING_UP	0.0	clinical_plus_bi	xgboost	1	2
grade_1	0.0	clinical_plus_bi	xgboost	1	2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0	clinical_plus_bi	xgboost	1	2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0	clinical_plus_bi	xgboost	1	2
er_status_ihc_esr1_for indeterminate_P	0.0	clinical_plus_bi	xgboost	1	2
er_status_ihc_esr1_for indeterminate_N	0.079407595	clinical_plus_bi	xgboost	1	3
er_status_ihc_esr1_for indeterminate_P	0.06885769	clinical_plus_bi	xgboost	1	3
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.041059915	clinical_plus_bi	xgboost	1	3
clinical_nodal_status_N1	0.030011604	clinical_plus_bi	xgboost	1	3
CYTOLYTIC_ACTIVITY	0.02937861	clinical_plus_bi	xgboost	1	3
activation	0.021708092	clinical_plus_bi	xgboost	1	3
HALLMARK_MITOTIC_SPINDLE	0.019439736	clinical_plus_bi	xgboost	1	3
IFNG_RESPONSE	0.019066667	clinical_plus_bi	xgboost	1	3
HALLMARK_MYC_TARGETS_V2	0.018951312	clinical_plus_bi	xgboost	1	3
clinical_ajcc_stage_IIB	0.01638869	clinical_plus_bi	xgboost	1	3
ANTIGEN_PRESENTATION	0.015480192	clinical_plus_bi	xgboost	1	3
grade_Indeterminate	0.015310835	clinical_plus_bi	xgboost	1	3
HALLMARK_INFLAMMATORY_RESPONSE	0.015179018	clinical_plus_bi	xgboost	1	3
HALLMARK_COMPLEMENT	0.015092377	clinical_plus_bi	xgboost	1	3
HYPOXIA	0.014567627	clinical_plus_bi	xgboost	1	3
clinical_ajcc_stage_IIIC	0.014449645	clinical_plus_bi	xgboost	1	3
HALLMARK_MYC_TARGETS_V1	0.014327334	clinical_plus_bi	xgboost	1	3
HALLMARK_PROTEIN_SECRETION	0.0138527285	clinical_plus_bi	xgboost	1	3
HALLMARK_HEDGEHOG_SIGNALING	0.013760369	clinical_plus_bi	xgboost	1	3
HALLMARK_GLYCOLYSIS	0.013308667	clinical_plus_bi	xgboost	1	3
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.013278315	clinical_plus_bi	xgboost	1	3
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.01327675	clinical_plus_bi	xgboost	1	3
age_years	0.012936388	clinical_plus_bi	xgboost	1	3
HALLMARK_IL2_STAT5_SIGNALING	0.012120371	clinical_plus_bi	xgboost	1	3
HALLMARK_KRAS_SIGNALING_DN	0.012019723	clinical_plus_bi	xgboost	1	3
HALLMARK_UV_RESPONSE_UP	0.011801299	clinical_plus_bi	xgboost	1	3
HALLMARK_APICAL_SURFACE	0.011799279	clinical_plus_bi	xgboost	1	3
clinical_t_stage_T4	0.011781776	clinical_plus_bi	xgboost	1	3
TREG_MYELOID_SUPPRESSION	0.011633269	clinical_plus_bi	xgboost	1	3
HALLMARK_TGF_BETA_SIGNALING	0.011557332	clinical_plus_bi	xgboost	1	3
immune_balance_index	0.011554813	clinical_plus_bi	xgboost	1	3
HALLMARK_SPERMATOGENESIS	0.011372892	clinical_plus_bi	xgboost	1	3
HALLMARK_MTORC1_SIGNALING	0.011312945	clinical_plus_bi	xgboost	1	3
grade_3	0.011178021	clinical_plus_bi	xgboost	1	3
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.011145726	clinical_plus_bi	xgboost	1	3
HALLMARK_APOPTOSIS	0.011007516	clinical_plus_bi	xgboost	1	3
HALLMARK_NOTCH_SIGNALING	0.010995208	clinical_plus_bi	xgboost	1	3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.010946383	clinical_plus_bi	xgboost	1	3
HALLMARK_G2M_CHECKPOINT	0.010891543	clinical_plus_bi	xgboost	1	3
HALLMARK_PEROXISOME	0.010641229	clinical_plus_bi	xgboost	1	3
HALLMARK_HEME_METABOLISM	0.010386916	clinical_plus_bi	xgboost	1	3
HALLMARK_P53_PATHWAY	0.010315598	clinical_plus_bi	xgboost	1	3
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.010237447	clinical_plus_bi	xgboost	1	3
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.010155859	clinical_plus_bi	xgboost	1	3
HALLMARK_ANDROGEN_RESPONSE	0.009967607	clinical_plus_bi	xgboost	1	3
EMT	0.009442957	clinical_plus_bi	xgboost	1	3
clinical_t_stage_T2	0.009332708	clinical_plus_bi	xgboost	1	3
HALLMARK_MYOGENESIS	0.009332063	clinical_plus_bi	xgboost	1	3
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.009322209	clinical_plus_bi	xgboost	1	3
CD8_NK	0.009262864	clinical_plus_bi	xgboost	1	3
suppression	0.00906835	clinical_plus_bi	xgboost	1	3
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.008962671	clinical_plus_bi	xgboost	1	3
HALLMARK_ADIPOGENESIS	0.008889829	clinical_plus_bi	xgboost	1	3
HALLMARK_FATTY_ACID_METABOLISM	0.008728978	clinical_plus_bi	xgboost	1	3
clinical_nodal_status_N0	0.008536629	clinical_plus_bi	xgboost	1	3
HALLMARK_PANCREAS_BETA_CELLS	0.008281754	clinical_plus_bi	xgboost	1	3
HALLMARK_ANGIOGENESIS	0.008130998	clinical_plus_bi	xgboost	1	3
immune_balance_ratio	0.00809	clinical_plus_bi	xgboost	1	3
HALLMARK_HYPOXIA	0.007963705	clinical_plus_bi	xgboost	1	3
HALLMARK_DNA_REPAIR	0.007532677	clinical_plus_bi	xgboost	1	3
HALLMARK_APICAL_JUNCTION	0.0074579604	clinical_plus_bi	xgboost	1	3
HALLMARK_COAGULATION	0.0070816474	clinical_plus_bi	xgboost	1	3
HALLMARK_XENOBIOTIC_METABOLISM	0.007079832	clinical_plus_bi	xgboost	1	3
ECM_REMODELING	0.0070739263	clinical_plus_bi	xgboost	1	3
HALLMARK_BILE_ACID_METABOLISM	0.0068925675	clinical_plus_bi	xgboost	1	3
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0068628625	clinical_plus_bi	xgboost	1	3
T_CELL_INFLAMED	0.006837675	clinical_plus_bi	xgboost	1	3
HALLMARK_UV_RESPONSE_DN	0.006792833	clinical_plus_bi	xgboost	1	3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0064851544	clinical_plus_bi	xgboost	1	3
TGF_BETA_SIGNALING	0.005935995	clinical_plus_bi	xgboost	1	3
HALLMARK_E2F_TARGETS	0.005867234	clinical_plus_bi	xgboost	1	3
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.0057597593	clinical_plus_bi	xgboost	1	3
ANGIOGENESIS	0.0054820334	clinical_plus_bi	xgboost	1	3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0048028254	clinical_plus_bi	xgboost	1	3
HALLMARK_ALLOGRAFT_REJECTION	0.003681721	clinical_plus_bi	xgboost	1	3
HALLMARK_KRAS_SIGNALING_UP	0.000967719	clinical_plus_bi	xgboost	1	3
clinical_ajcc_stage_IIIB	0.00014698872	clinical_plus_bi	xgboost	1	3
clinical_t_stage_T3	0.0	clinical_plus_bi	xgboost	1	3
grade_2	0.0	clinical_plus_bi	xgboost	1	3
clinical_t_stage_T1	0.0	clinical_plus_bi	xgboost	1	3
clinical_nodal_status_N2	0.0	clinical_plus_bi	xgboost	1	3
clinical_t_stage_T0	0.0	clinical_plus_bi	xgboost	1	3
clinical_ajcc_stage_I	0.0	clinical_plus_bi	xgboost	1	3
clinical_ajcc_stage_IIA	0.0	clinical_plus_bi	xgboost	1	3
clinical_ajcc_stage_IIIA	0.0	clinical_plus_bi	xgboost	1	3
grade_1	0.0	clinical_plus_bi	xgboost	1	3
clinical_ajcc_stage_Inflammatory	0.0	clinical_plus_bi	xgboost	1	3
clinical_nodal_status_N3	0.0	clinical_plus_bi	xgboost	1	3
er_status_ihc_esr1_for indeterminate_P	0.05449656	clinical_plus_bi	xgboost	1	4
er_status_ihc_esr1_for indeterminate_N	0.05276804	clinical_plus_bi	xgboost	1	4
grade_3	0.049588434	clinical_plus_bi	xgboost	1	4
HALLMARK_MITOTIC_SPINDLE	0.03925882	clinical_plus_bi	xgboost	1	4
HALLMARK_UV_RESPONSE_UP	0.033505313	clinical_plus_bi	xgboost	1	4
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.028543795	clinical_plus_bi	xgboost	1	4
HALLMARK_SPERMATOGENESIS	0.026999695	clinical_plus_bi	xgboost	1	4
HALLMARK_KRAS_SIGNALING_DN	0.023647944	clinical_plus_bi	xgboost	1	4
ANTIGEN_PRESENTATION	0.022030912	clinical_plus_bi	xgboost	1	4
HYPOXIA	0.02173508	clinical_plus_bi	xgboost	1	4
TGF_BETA_SIGNALING	0.02110948	clinical_plus_bi	xgboost	1	4
HALLMARK_ANDROGEN_RESPONSE	0.019038377	clinical_plus_bi	xgboost	1	4
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.018491661	clinical_plus_bi	xgboost	1	4
HALLMARK_GLYCOLYSIS	0.018268332	clinical_plus_bi	xgboost	1	4
CYTOLYTIC_ACTIVITY	0.0176585	clinical_plus_bi	xgboost	1	4
HALLMARK_P53_PATHWAY	0.0174934	clinical_plus_bi	xgboost	1	4
HALLMARK_HEDGEHOG_SIGNALING	0.016945107	clinical_plus_bi	xgboost	1	4
HALLMARK_IL2_STAT5_SIGNALING	0.016855448	clinical_plus_bi	xgboost	1	4
TREG_MYELOID_SUPPRESSION	0.016756902	clinical_plus_bi	xgboost	1	4
HALLMARK_G2M_CHECKPOINT	0.016506635	clinical_plus_bi	xgboost	1	4
age_years	0.015987592	clinical_plus_bi	xgboost	1	4
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.015704207	clinical_plus_bi	xgboost	1	4
immune_balance_index	0.015635917	clinical_plus_bi	xgboost	1	4
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.015580155	clinical_plus_bi	xgboost	1	4
HALLMARK_ANGIOGENESIS	0.015220587	clinical_plus_bi	xgboost	1	4
HALLMARK_XENOBIOTIC_METABOLISM	0.014696889	clinical_plus_bi	xgboost	1	4
HALLMARK_ADIPOGENESIS	0.01459724	clinical_plus_bi	xgboost	1	4
clinical_t_stage_T4	0.014391272	clinical_plus_bi	xgboost	1	4
HALLMARK_APICAL_SURFACE	0.013998279	clinical_plus_bi	xgboost	1	4
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.013914873	clinical_plus_bi	xgboost	1	4
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.013493544	clinical_plus_bi	xgboost	1	4
HALLMARK_DNA_REPAIR	0.012772748	clinical_plus_bi	xgboost	1	4
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0127525	clinical_plus_bi	xgboost	1	4
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.01266987	clinical_plus_bi	xgboost	1	4
HALLMARK_MYC_TARGETS_V2	0.012506343	clinical_plus_bi	xgboost	1	4
HALLMARK_NOTCH_SIGNALING	0.012326826	clinical_plus_bi	xgboost	1	4
EMT	0.012267755	clinical_plus_bi	xgboost	1	4
HALLMARK_MTORC1_SIGNALING	0.01213982	clinical_plus_bi	xgboost	1	4
HALLMARK_MYC_TARGETS_V1	0.011978369	clinical_plus_bi	xgboost	1	4
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.011741437	clinical_plus_bi	xgboost	1	4
HALLMARK_HYPOXIA	0.011709732	clinical_plus_bi	xgboost	1	4
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.011649119	clinical_plus_bi	xgboost	1	4
HALLMARK_COAGULATION	0.011601426	clinical_plus_bi	xgboost	1	4
HALLMARK_FATTY_ACID_METABOLISM	0.011330988	clinical_plus_bi	xgboost	1	4
HALLMARK_PANCREAS_BETA_CELLS	0.011251678	clinical_plus_bi	xgboost	1	4
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.011178779	clinical_plus_bi	xgboost	1	4
CD8_NK	0.010629547	clinical_plus_bi	xgboost	1	4
HALLMARK_ESTROGEN_RESPONSE_LATE	0.010558966	clinical_plus_bi	xgboost	1	4
immune_balance_ratio	0.00999471	clinical_plus_bi	xgboost	1	4
HALLMARK_APOPTOSIS	0.0099470345	clinical_plus_bi	xgboost	1	4
HALLMARK_PROTEIN_SECRETION	0.009843096	clinical_plus_bi	xgboost	1	4
HALLMARK_PEROXISOME	0.009043105	clinical_plus_bi	xgboost	1	4
HALLMARK_HEME_METABOLISM	0.008831962	clinical_plus_bi	xgboost	1	4
suppression	0.00878091	clinical_plus_bi	xgboost	1	4
IFNG_RESPONSE	0.008488068	clinical_plus_bi	xgboost	1	4
T_CELL_INFLAMED	0.007536029	clinical_plus_bi	xgboost	1	4
HALLMARK_COMPLEMENT	0.007021003	clinical_plus_bi	xgboost	1	4
HALLMARK_TGF_BETA_SIGNALING	0.0066066184	clinical_plus_bi	xgboost	1	4
HALLMARK_KRAS_SIGNALING_UP	0.0058452603	clinical_plus_bi	xgboost	1	4
ECM_REMODELING	0.0053652385	clinical_plus_bi	xgboost	1	4
HALLMARK_MYOGENESIS	0.005305062	clinical_plus_bi	xgboost	1	4
HALLMARK_UV_RESPONSE_DN	0.0014070185	clinical_plus_bi	xgboost	1	4
clinical_nodal_status_N0	0.0	clinical_plus_bi	xgboost	1	4
