feature	gain	feature_set	model	repeat	fold
er_status_ihc_esr1_for indeterminate_N	0.2196859	clinical_only	xgboost	2	1
er_status_ihc_esr1_for indeterminate_P	0.099902414	clinical_only	xgboost	2	1
grade_3	0.08536351	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIIA	0.06406525	clinical_only	xgboost	2	1
age_years	0.05495376	clinical_only	xgboost	2	1
clinical_t_stage_T4	0.051762674	clinical_only	xgboost	2	1
clinical_nodal_status_N2	0.051434256	clinical_only	xgboost	2	1
grade_Indeterminate	0.04636302	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIB	0.04401964	clinical_only	xgboost	2	1
clinical_t_stage_T2	0.043614585	clinical_only	xgboost	2	1
grade_2	0.040773824	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIIC	0.034166288	clinical_only	xgboost	2	1
clinical_nodal_status_N0	0.03252988	clinical_only	xgboost	2	1
clinical_nodal_status_N3	0.025741566	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIA	0.02546327	clinical_only	xgboost	2	1
clinical_t_stage_T3	0.022410966	clinical_only	xgboost	2	1
clinical_nodal_status_N1	0.02084315	clinical_only	xgboost	2	1
clinical_ajcc_stage_IIIB	0.018622886	clinical_only	xgboost	2	1
grade_1	0.018283186	clinical_only	xgboost	2	1
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	2	1
clinical_t_stage_T0	0.0	clinical_only	xgboost	2	1
clinical_t_stage_T1	0.0	clinical_only	xgboost	2	1
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	2	1
er_status_ihc_esr1_for indeterminate_N	0.19509262	clinical_only	xgboost	2	2
er_status_ihc_esr1_for indeterminate_P	0.080316	clinical_only	xgboost	2	2
grade_2	0.078251846	clinical_only	xgboost	2	2
grade_3	0.07536408	clinical_only	xgboost	2	2
clinical_t_stage_T3	0.051271785	clinical_only	xgboost	2	2
clinical_t_stage_T4	0.04913346	clinical_only	xgboost	2	2
age_years	0.047838368	clinical_only	xgboost	2	2
clinical_t_stage_T2	0.047558546	clinical_only	xgboost	2	2
grade_Indeterminate	0.041310813	clinical_only	xgboost	2	2
clinical_ajcc_stage_IIA	0.03788233	clinical_only	xgboost	2	2
clinical_nodal_status_N3	0.037539177	clinical_only	xgboost	2	2
clinical_nodal_status_N0	0.036575858	clinical_only	xgboost	2	2
clinical_ajcc_stage_IIB	0.036482748	clinical_only	xgboost	2	2
clinical_ajcc_stage_IIIA	0.036468886	clinical_only	xgboost	2	2
clinical_ajcc_stage_IIIB	0.03579034	clinical_only	xgboost	2	2
clinical_ajcc_stage_IIIC	0.03370433	clinical_only	xgboost	2	2
grade_1	0.03354141	clinical_only	xgboost	2	2
clinical_nodal_status_N1	0.030068237	clinical_only	xgboost	2	2
clinical_nodal_status_N2	0.01580913	clinical_only	xgboost	2	2
clinical_t_stage_T1	0.0	clinical_only	xgboost	2	2
clinical_t_stage_T0	0.0	clinical_only	xgboost	2	2
clinical_ajcc_stage_I	0.0	clinical_only	xgboost	2	2
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	2	2
er_status_ihc_esr1_for indeterminate_N	0.22624366	clinical_only	xgboost	2	3
grade_3	0.10589138	clinical_only	xgboost	2	3
clinical_t_stage_T3	0.065770574	clinical_only	xgboost	2	3
grade_2	0.06206208	clinical_only	xgboost	2	3
clinical_nodal_status_N3	0.050298717	clinical_only	xgboost	2	3
clinical_t_stage_T4	0.049144413	clinical_only	xgboost	2	3
grade_Indeterminate	0.048976608	clinical_only	xgboost	2	3
age_years	0.04461318	clinical_only	xgboost	2	3
clinical_nodal_status_N0	0.03947691	clinical_only	xgboost	2	3
clinical_ajcc_stage_IIIA	0.03516734	clinical_only	xgboost	2	3
clinical_t_stage_T2	0.030337472	clinical_only	xgboost	2	3
clinical_nodal_status_N2	0.029866641	clinical_only	xgboost	2	3
clinical_ajcc_stage_IIIC	0.029433548	clinical_only	xgboost	2	3
clinical_ajcc_stage_IIA	0.02935093	clinical_only	xgboost	2	3
clinical_ajcc_stage_IIIB	0.026951762	clinical_only	xgboost	2	3
er_status_ihc_esr1_for indeterminate_P	0.026303202	clinical_only	xgboost	2	3
clinical_t_stage_T1	0.025453283	clinical_only	xgboost	2	3
clinical_ajcc_stage_IIB	0.02376318	clinical_only	xgboost	2	3
clinical_nodal_status_N1	0.021395596	clinical_only	xgboost	2	3
grade_1	0.01726616	clinical_only	xgboost	2	3
clinical_ajcc_stage_I	0.012233408	clinical_only	xgboost	2	3
clinical_ajcc_stage_Inflammatory	0.0	clinical_only	xgboost	2	3
