ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0000212	meiotic spindle organization	5/430	18/11986	0.277777777777778	7.74289405684755	5.52231631127143	0.00033768546173471	0.00954876785246177	0.00885034325518394	CCNB2/NDC80/SKA1/AURKA/ASPM	5
GO:0031100	animal organ regeneration	9/430	62/11986	0.145161290322581	4.04628657164291	4.63879411502147	0.000339394067859115	0.00954876785246177	0.00885034325518394	TYMS/NOTCH1/EZH2/LPIN1/CCNA2/CDK1/ADM/AURKA/SLC7A5	9
GO:0007162	negative regulation of cell adhesion	21/430	255/11986	0.0823529411764706	2.29554035567716	4.03369446217926	0.00034449031186863	0.00962389483931587	0.00891997523615362	CDKN2A/NOTCH1/KANK1/IDO1/GCNT2/TNFRSF21/ASS1/FZD7/CEACAM1/MDK/GBP1/VEGFA/EPCAM/PELI1/PODXL/SERPINE2/MAP4K4/CX3CL1/MMP12/PRNP/RGCC	21
GO:0000910	cytokinesis	15/430	153/11986	0.0980392156862745	2.7327861377109	4.16095221653503	0.000393841309198353	0.0108426289889414	0.0100495676325401	STMN1/CDCA8/PRC1/KIF4A/CEP55/KIF14/PLK1/AURKB/KIF20A/NUSAP1/ECT2/E2F8/RACGAP1/KIF23/AURKA	15
GO:0007292	female gamete generation	13/430	121/11986	0.107438016528926	2.9947722467807	4.25404041481079	0.000394237368431373	0.0108426289889414	0.0100495676325401	TTK/CCNB2/PLK1/TOP2A/NCAPH/MDK/TRIP13/NDC80/SKA1/AURKA/ASPM/PTX3/DMRT1	13
GO:0071824	protein-DNA complex organization	18/430	204/11986	0.0882352941176471	2.45950752393981	4.05565863311563	0.000396314898763926	0.0108426289889414	0.0100495676325401	MCM2/CHAF1B/GMNN/CDT1/NASP/HJURP/HMGA1/CENPE/HMGB2/CENPN/DLGAP5/CENPF/CDC45/MYC/KNTC1/CENPI/H2BC11/TSPYL5	18
GO:0000727	double-strand break repair via break-induced replication	4/430	11/11986	0.363636363636364	10.1361522198732	5.84751559581817	0.00044098265427787	0.0119005319014987	0.0110300924553713	MCM2/MCM6/MCM5/CDC45	4
GO:0090267	positive regulation of mitotic cell cycle spindle assembly checkpoint	4/430	11/11986	0.363636363636364	10.1361522198732	5.84751559581817	0.00044098265427787	0.0119005319014987	0.0110300924553713	CDCA8/AURKB/MAD2L1/NDC80	4
GO:0007163	establishment or maintenance of cell polarity	17/430	189/11986	0.0899470899470899	2.5072228374554	4.02876614287525	0.00045718935140801	0.0122545280880782	0.0113581963333441	KANK1/CLIC4/KIF2C/GPSM2/PTK7/PLK1/CDK5RAP2/MAD2L1/PAX6/NDC80/FAT1/SKA1/SPRY2/SPDL1/CCL4/FSCN1/FERMT1	17
GO:0001837	epithelial to mesenchymal transition	14/430	139/11986	0.100719424460432	2.80749539902961	4.13456559829873	0.000464412008401182	0.0123645801162919	0.0114601988367738	FOXC1/NOTCH1/QKI/SFRP1/EZH2/HDAC2/GCNT2/WWTR1/MDK/VEGFA/SPRY2/TMEM100/ZNF750/RGCC	14
GO:0051438	regulation of ubiquitin-protein transferase activity	6/430	29/11986	0.206896551724138	5.76712109061748	4.95785188768979	0.000484374921535565	0.0128101020915439	0.01187313404157	CDKN2A/CDC20/PLK1/MAD2L1/UBE2S/BAG2	6
GO:0031023	microtubule organizing center organization	13/430	125/11986	0.104	2.89893953488372	4.11675451329918	0.000540485006415559	0.0141993643738445	0.0131607816480275	RANBP1/KIF15/PLK1/CHEK1/CDK5RAP2/NDC80/CDK1/CEP192/AURKA/NEK2/KIF11/SAC3D1/CNTLN	13
GO:0030261	chromosome condensation	7/430	41/11986	0.170731707317073	4.75904707884288	4.65078321737785	0.000568871991680236	0.0148468104670756	0.0137608716547027	SMC4/PLK1/TOP2A/NUSAP1/SMC2/NCAPH/CDK1	7
