feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
HALLMARK_COAGULATION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_INFLAMMATORY_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_BILE_ACID_METABOLISM	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_APOPTOSIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_APICAL_SURFACE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_APICAL_JUNCTION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_ANGIOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_ANDROGEN_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_ALLOGRAFT_REJECTION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_P53_PATHWAY	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_ADIPOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_SPERMATOGENESIS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_PROTEIN_SECRETION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_PANCREAS_BETA_CELLS	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.0	0.0	clinical_plus_bi	elastic_net_logreg	1	2
