feature	coefficient	abs_coefficient	feature_set	model	repeat	fold
clinical_t_stage_T0	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_ajcc_stage_IIA	0.0	0.0	clinical_only	elastic_net_logreg	1	5
grade_Indeterminate	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_ajcc_stage_IIB	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_ajcc_stage_I	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_t_stage_T1	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_nodal_status_N3	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_nodal_status_N2	0.0	0.0	clinical_only	elastic_net_logreg	1	5
grade_1	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_nodal_status_N0	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_t_stage_T3	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_t_stage_T2	0.0	0.0	clinical_only	elastic_net_logreg	1	5
clinical_nodal_status_N1	0.0	0.0	clinical_only	elastic_net_logreg	1	5
er_status_ihc_esr1_for indeterminate_P	-0.7005952876261602	0.7005952876261602	clinical_only	elastic_net_logreg	2	1
er_status_ihc_esr1_for indeterminate_N	0.5659556663757538	0.5659556663757538	clinical_only	elastic_net_logreg	2	1
grade_3	0.40776639725573655	0.40776639725573655	clinical_only	elastic_net_logreg	2	1
clinical_t_stage_T4	-0.2507289694532269	0.2507289694532269	clinical_only	elastic_net_logreg	2	1
grade_2	-0.2353228018039493	0.2353228018039493	clinical_only	elastic_net_logreg	2	1
age_years	-0.056962778178113856	0.056962778178113856	clinical_only	elastic_net_logreg	2	1
clinical_nodal_status_N0	-0.019122876125476206	0.019122876125476206	clinical_only	elastic_net_logreg	2	1
clinical_nodal_status_N1	0.00607229444456644	0.00607229444456644	clinical_only	elastic_net_logreg	2	1
clinical_ajcc_stage_IIA	0.0	0.0	clinical_only	elastic_net_logreg	2	1
grade_Indeterminate	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_ajcc_stage_Inflammatory	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_ajcc_stage_IIIC	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_ajcc_stage_IIIB	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_ajcc_stage_IIIA	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_ajcc_stage_IIB	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_t_stage_T1	0.0	0.0	clinical_only	elastic_net_logreg	2	1
clinical_t_stage_T2	0.0	0.0	clinical_only	elastic_net_logreg	2	1
