gene_symbol	mutual_information
BATF	0.046405697536861
NR0B2	0.0463905509767287
ARHGAP32	0.0463896612439566
ACADSB	0.0463742040492416
CBFA2T3	0.0463742040492414
CD82	0.0463742040492414
FRY	0.0463742040492414
SMC2	0.0463742040492414
CXXC4	0.0463150187719082
NOL7	0.0462022913697836
RAMP3	0.0461379672066699
SKAP1	0.0461379672066699
TMEM30B	0.0461335513616466
GADD45G	0.0461335513616465
FOCAD	0.0461324539078415
LGALS8	0.0460923584782131
PSMG1	0.0460775300738613
VWA8	0.0460775300738612
PLAA	0.0460695051522143
SMAP1	0.0460695051522143
FBXL15	0.0460477719915908
SIX2	0.0460477719915908
MYOM2	0.0460360819398396
PPP2CA	0.0460048127974616
RIF1	0.0459557241682202
GMNN	0.0458971252498937
LONP1	0.0458799682511394
NUP155	0.0458613505433146
RCN1	0.0458492631827813
CERT1	0.0458492201950311
SHOC2	0.045847444010558
BARD1	0.0457367864057826
CMC2	0.0457276158998484
ECT2	0.0457207505700964
POLE3	0.0456816668063083
NRIP1	0.0455760791177923
RETREG3	0.0455760791177923
CRYAB	0.0455631959294794
PDHA1	0.0455631959294793
UQCRFS1	0.0455631959294793
FBL	0.0455263771833635
MMP10	0.0455116359019287
DYNC2H1	0.0454966363495071
VGLL4	0.0454723188986627
ZNF587	0.0454089890849918
SPRY2	0.0453817314160175
TRIM23	0.0453554715241194
TMEM230	0.0453209218423313
RNF111	0.0453107083272744
SLC22A4	0.0453107083272744
NEIL1	0.0453030405794505
ALDH9A1	0.0452485328832325
SERTAD3	0.0452384338662661
IQGAP2	0.045238433866266
GPI	0.045238433866266
UCK2	0.045238433866266
NBR1	0.0452362378284047
LTBP1	0.0452362378284047
ZNF24	0.0451871797249927
MKNK2	0.0451755739421198
POLR2F	0.0451755739421198
PASK	0.0451514966375865
CAAP1	0.045135303122934
ELAVL2	0.0451332906049855
CBR4	0.0450821725326265
KLK5	0.0450371540592639
NRTN	0.0450371540592639
FMOD	0.0450371540592639
TIMM8A	0.0449905522355321
CMPK1	0.0449792305705502
PLAAT2	0.0449403697456691
CAPRIN2	0.0449113789949824
FSTL3	0.0449113789949824
LY6G5C	0.0449113789949824
INHBC	0.0449113789949824
KAT6B	0.0449113789949824
RAD17	0.0448936941008803
COLGALT1	0.0448838710877955
LASP1	0.0448720262500404
RBM15	0.0448459774775578
GART	0.0448137589626679
SLC33A1	0.0447876467647326
DMAC2L	0.0447538243543653
NDUFA9	0.0447538243543652
PDE9A	0.0447350580577782
BAG3	0.0446681130547462
PUS1	0.0446364708385639
RAB17	0.0446364708385639
FANCG	0.044624943318082
SNAPC3	0.044624943318082
KLHDC2	0.0445586871913925
ATP5MC2	0.0445583754512451
MSL1	0.0445583754512451
MGST2	0.044530799913043
ACTL6A	0.044530799913043
DDX49	0.044530799913043
DBI	0.044522704130112
ANXA6	0.0444971262011102
RFC3	0.0444620028154528
RAD54L	0.0444572137576475
CBR3	0.0444345755899803
DNA2	0.0444345755899801
NUDT1	0.0444124684410933
LSM4	0.0443601727387551
SLC6A14	0.0443601727387551
ATP7B	0.0443425584587965
HOMER3	0.0442281783622181
THBS4	0.0442281783622181
CREB3L1	0.0442033060813528
CTPS1	0.0441205206910796
SERPINH1	0.0441205206910796
EMP2	0.0440991293824454
HACD1	0.0440991293824454
STUB1	0.0440991293824454
SEH1L	0.0440966210254376
CPB1	0.0440838907917015
TFG	0.0440838907917015
DRC3	0.0440838907917014
SNAP23	0.0440838907917011
PGAP3	0.0440838907917011
ABCC8	0.0440723965281015
FASTK	0.0440412119602208
VARS1	0.0440156340312188
HEBP1	0.0440094090135314
FRMD4A	0.0439555491535578
SNRPG	0.0439317012984722
MARCHF6	0.0439261473043466
SPA17	0.0438970917344544
CEP290	0.0438855893468703
RB1	0.0437709100372131
HSPA14	0.043727521474329
AQR	0.0437275214743287
AMD1	0.0437182678951487
BUB1B	0.0437182678951487
ABT1	0.0437102299896459
COA7	0.0437102299896459
MBOAT7	0.0436444441434689
RPS27L	0.0436121845495883
ARB2A	0.0435981517268217
CXADR	0.0435281358293074
SERF2	0.0435141431850407
CIB2	0.0435141431850406
KPNA2	0.0435141431850406
ARL3	0.0435031283285239
CISH	0.0435031283285235
INO80D	0.0434725871244105
TTLL7	0.0434467079043305
ITM2C	0.0433957601576907
RNASEH2A	0.0433570265833733
ATP5F1C	0.0433461816855984
LSM2	0.0433461816855984
NRIP3	0.0433312168608104
VPS33B	0.0433271358155078
CEACAM6	0.0433223957596304
TESMIN	0.0433111491159656
