SYMBOL	logFC	AveExpr	t	P.Value	adj.P.Val	B	ENTREZID
TMBIM6	-0.461180632436668	13.1911865155102	-5.13517922514248	5.12060747947596e-07	4.26390388333153e-05	5.9332354039283	7009
SLC39A6	-1.236765748917	12.9340847990272	-5.13502200756774	5.12453853663916e-07	4.26390388333153e-05	5.93251727168317	25800
EFS	0.98774973452925	9.16727324930952	5.13487602977964	5.12819117355587e-07	4.26390388333153e-05	5.93185049644452	10278
GPSM2	0.774823257482388	8.58931238707483	5.13464082777772	5.13408167561201e-07	4.26390388333153e-05	5.93077620947457	29899
SKP2	0.730638740854013	9.2506014434966	5.12969935174913	5.25936519481098e-07	4.3403077705785e-05	5.90821543202465	6502
KRT18	-0.853549722636363	13.1996479877993	-5.12267416562327	5.44259070387544e-07	4.46311796770866e-05	5.87617235737198	3875
SSH3	-0.378336235885431	9.73344283997279	-5.1213940149937	5.47663835289045e-07	4.46311796770866e-05	5.87033730393108	54961
MRTFB	-0.483444961915252	10.2041901882653	-5.115508156488	5.63585640787855e-07	4.56434358399556e-05	5.84352458534285	57496
PDK1	0.903281412930163	5.2597956127381	5.1122390048705	5.72621800191724e-07	4.60642707719163e-05	5.82864321643763	5163
KCNK15	-1.36307749630544	5.7734224605	-5.11011370590466	5.78571398174693e-07	4.60642707719163e-05	5.81897297729042	60598
CDCA8	1.29822826325637	7.30744787921429	5.10982637045108	5.79380351759665e-07	4.60642707719163e-05	5.81766584033212	55143
PRC1	0.820474951712362	9.79584885272448	5.09819562052766	6.13061073405761e-07	4.84466868856832e-05	5.76480698597666	9055
CDT1	1.0426795009399	6.79828987282654	5.09409332179551	6.25387150221247e-07	4.91230304321376e-05	5.74618699420224	81620
CPE	-1.27424105347782	8.43519737830611	-5.09166896410291	6.32784059504035e-07	4.92228170084302e-05	5.73518890764851	1363
CCNE1	0.993683004665727	8.16174090560204	5.09120553733746	6.3420762768742e-07	4.92228170084302e-05	5.73308707110697	898
SMC4	0.60779756983332	10.2814394369218	5.086599848374	6.4852518771877e-07	4.97900300966116e-05	5.71220698891876	10051
NASP	1.13140650081803	9.17558432567007	5.08640017497631	6.49152934766774e-07	4.97900300966116e-05	5.7113021175296	4678
ROGDI	-0.495194222828603	9.6810057497551	-5.07393099916143	6.89542222808719e-07	5.25786025918298e-05	5.6548535261212	79641
TTYH1	1.37299118582777	4.74626712001361	5.06963577620279	7.04010499822477e-07	5.33697262045656e-05	5.63543560121549	57348
TRIM2	1.24438613656919	8.60064521935374	5.05543480548936	7.53968912043616e-07	5.68265933187093e-05	5.57133333160565	23321
PIGB	-0.348682383485127	8.99742010147619	-5.04788666224517	7.81902887940155e-07	5.85661130926352e-05	5.53732264505089	9488
PRKD3	0.706256524081475	8.64620015975851	5.04679315800801	7.86031888274497e-07	5.85661130926352e-05	5.53239901814821	23683
ANP32E	0.808714357580981	10.4591022431088	5.03905510784096	8.15859403662336e-07	6.04431293429159e-05	5.49758305846665	81611
UGT8	1.13188605584656	6.03169549604422	5.0360035535583	8.27920845973254e-07	6.09901689866964e-05	5.48386542641937	7368
RAB26	-0.433424829101103	9.24045465916326	-5.03124426853558	8.47077428221527e-07	6.2050801048205e-05	5.46248492195581	25837
WBP1L	-0.40701911639787	10.4806804037823	-5.02855911258584	8.58074019303663e-07	6.25051795402261e-05	5.45042965358822	54838
UBE2E3	0.787761925020844	9.78134757960204	5.01817074313516	9.01933686764713e-07	6.5335074120695e-05	5.40384081387559	10477
PFKP	0.794914381924381	9.82555291477551	5.01637053880615	9.097515112271e-07	6.55372925684539e-05	5.39577562085426	5214
MACIR	-0.545211924071433	9.0146630539898	-5.01048260260925	9.35781970307896e-07	6.704209401563e-05	5.36941369448395	90355
EZH2	0.915294859175047	8.31971656719728	5.00751970041946	9.49152048542379e-07	6.76283801144486e-05	5.35615777295693	2146
FBXL7	-0.632521139687409	8.82588433361564	-5.00290049450701	9.70365635619883e-07	6.87641169719981e-05	5.33550472025302	23194
ETNK2	-0.408091250261544	8.7189374332585	-4.99894004181693	9.88918558570506e-07	6.97000491091936e-05	5.31780976468325	55224
TMEM9B	-0.346124223037276	10.5203169335136	-4.99132752720133	1.02554820378642e-06	7.1893134565436e-05	5.2838307360286	56674
IFT46	-0.365636095483454	9.65339330828572	-4.98442303451152	1.05990353037308e-06	7.35364938896398e-05	5.25304960719055	56912
